"id","name","shortcut","colors"
"1","Polska","POL","#FFF,#D00"
"2","Dania","DAN","#FFF,#D00"
"3","Szwecja","SWE","#FF0,#09F"
"4","Wielka Brytania","GBR","#00D,#FFF,#D00"
"5","Australia","AUS","#00D,#FFF,#D00"
"6","Niemcy","GER","#000,#D00,#FF0"
"7","Austria","AUT","#D00,#FFF,#D00"
"8","Słowenia","SLO","#FFF,#00F,#D00"
"9","Słowacja","SLK","#FFF,#14A,#D00"
"10","Finlandia","FIN","#FFF,#008,#FFF"
"11","Francja","FRA","#00F,#FFF,#D00"
"12","Ukraina","UKR","#08F,#FF0"
"13","Czechy","CZE","#008,#FFF,#D00"
"14","Norwegia","NOR","#D00,#FFF,#006"
"15","Łotwa","LAT","#800,#FFF,#800"
"16","Stany Zjednoczone","USA","#0AF,#FFF,#C00"
"17","Belgia","BEL","#000,#FF0#D00"
"18","Bułgaria","BUL","#FFF,#0B4,#D00"
"19","Węgry","HUN","#D00,#FFF,#0B4"
"20","Włochy","ITA","#0F2,#FFF,#D00"
"21","Rosja","RUS","#FFF,#00F,#D00"
