"id","city","sponsor","trainer","league","country_id","estabilished","stadium_name","stadium_capacity","stadium_attendance","ticket_price","budget","colors"
"1","Wrocław","Sparta","Dariusz Śledź","1","1","1950","Stadion Olimpijski","13675","0.99","27","2500000","#FF0,#D00"
"2","Lublin","Motor","Jacek Ziółkowski","1","1","1956","Stadion miejski przy al. Zygmuntowskich","9302","1","37","3000000","#FC0,#FFF,#05C"
"3","Gorzów Wielkopolski","Stal","Stanisław Chomski","1","1","1947","Stadion im. Edwarda Jancarza","15200","0.73","29","1750000","#FF0,#08F"
"4","Leszno","Unia","Piotr Baron","1","1","1938","Stadion im. Alfreda Smoczyka","16760","0.51","36","1500000","#FFF,#05C"
"5","Częstochowa","Włókniarz","Jarosław Dymek","1","1","1946","Arena Częstochowa","16350","0.62","36","2000000","#FFF,#0C0"
"6","Toruń","Apator","Krzysztof Gałańdziuk","1","1","1962","Motoarena Toruń im. Mariana Rosego","15506","0.57","37","2250000","#FF0,#06F,#FFF"
"7","Grudziądz","GKM","Janusz Ślączka","1","1","1977","Stadion żużlowy w Grudziądzu","8000","0.80","42","1250000","#FF0,#049"
"8","Ostrów Wielkopolski","Ostrovia","Mariusz Matuszewski","2","1","1955","Stadion miejski w Ostrowie Wlkp.","10000","0.60","34","1000000","#F00,#FFF"
"9","Krosno","Wilki","Ireneusz Kwieciński","1","1","1956","Stadion MOSiR Krosno","7000","0.99","42","1000000","#F00,#111"
"10","Bydgoszcz","Polonia","Jacek Woźniak","2","1","1920","Stadion miejski im. Józefa Piłsudzkiego","11000","0.66","32","1125000","#FFF,#D00"
"11","Zielona Góra","Falubaz","Tomasz Szymankiewaicz","2","1","1946","Stadion żużlowy w Zielonej Górze","15000","0.56","32","1500000","#FF0,#FFF,#0F0"
"12","Łódź","Orzeł","Marek Cieślak","2","1","1951","Moto Arena Łódź","10000","0.42","39","675000","#FFF,#05D"
"13","Landshut","Devils","Sławomir Kryjom","2","6","1922","Speedwaystadion Ellermuhle","12000","0.26","57","875000","#F55,#FFF,#07F"
"14","Gdańsk","Wybrzeże","Eryk Jóźwiak","2","1","1945","Stadion im. Zbigniewa Podleckiego","10000","0.33","40","750000","#F00,#FFF,#04F"
"15","Rybnik","ROW","Antoni Skupień","2","1","1932","Stadion MOSiR Rybnik","10304","0.55","34","1250000","#0D0,#111"
"16","Poznań","PSŻ","Tomasz Bajerski","2","1","1946","Stadion Golęcin","8275","0.61","45","500000","#FF0,#111"
"17","Gniezno","Start","Adam Skórnicki","3","1","1948","Stadion żużlowy Gniezno","9662","0.48","34","675000","#F00,#111"
"18","Opole","Kolejarz","Marcin Sekula","3","1","1957","Stadion żużlowy im. Mariana Spychały","7000","0.46","29","600000","#FFF,#04D,#A00"
"19","Rawicz","Kolejarz","Maciej Jąder","3","1","1948","Stadion im. Floriana Kapały","7000","0.44","30","300000","#FF0,#0F0"
"20","Daugavpils","Lokomotiv","Nikołaj Konin","3","15","1948","Stadions Lokomotive","10000","0.54","25","450000","#FFF,#800"
"21","Rzeszów","Stal","Paweł Piskorz","3","1","1951","Stadion 'Stal' w Rzeszowie","12000","0.26","33","750000","#FFF,#0AF"
"22","Tarnów","Unia","Stanisław Burza","3","1","1957","Stadion Jaskółcze Gniazdo","15000","0.18","32","525000","#FFF,#04F"
"23","Piła","Polonia","Waldemar Cisoń","3","1","1947","Stadion Asta Arena","12000","0.38","31","375000","#FF0,#F00,#0F0"
